,0,1,2
0,asx,1AD,AUD
1,asx,1AG,AUD
2,asx,1AL,AUD
3,asx,1ST,AUD
4,asx,3DP,AUD
5,asx,3PL,AUD
6,asx,4CE,AUD
7,asx,4DS,AUD
8,asx,4WD,AUD
9,asx,88E,AUD
10,asx,8CO,AUD
11,asx,8EC,AUD
12,asx,8IH,AUD
13,asx,9SP,AUD
14,asx,A2M,AUD
15,asx,A3D,AUD
16,asx,AAA,AUD
17,asx,AAC,AUD
18,asx,AAD,AUD
19,asx,AAJ,AUD
20,asx,AAP,AUD
21,asx,AAR,AUD
22,asx,AAU,AUD
23,asx,AB1,AUD
24,asx,ABA,AUD
25,asx,ABC,AUD
26,asx,ABL,AUD
27,asx,ABP,AUD
28,asx,ABR,AUD
29,asx,ABT,AUD
30,asx,ABU,AUD
31,asx,ABV,AUD
32,asx,ABW,AUD
33,asx,ABX,AUD
34,asx,AC8,AUD
35,asx,ACB,AUD
36,asx,ACG,AUD
37,asx,ACK,AUD
38,asx,ACL,AUD
39,asx,ACP,AUD
40,asx,ACQ,AUD
41,asx,ACR,AUD
42,asx,ACS,AUD
43,asx,ACW,AUD
44,asx,ACX,AUD
45,asx,AD1,AUD
46,asx,AD8,AUD
47,asx,ADA,AUD
48,asx,ADD,AUD
49,asx,ADH,AUD
50,asx,ADJ,AUD
51,asx,ADN,AUD
52,asx,ADO,AUD
53,asx,ADR,AUD
54,asx,ADV,AUD
55,asx,ADX,AUD
56,asx,ADY,AUD
57,asx,AEB,AUD
58,asx,AEE,AUD
59,asx,AEF,AUD
60,asx,AEG,AUD
61,asx,AEGN,AUD
62,asx,AEI,AUD
63,asx,AER,AUD
64,asx,AEV,AUD
65,asx,AFA,AUD
66,asx,AFG,AUD
67,asx,AFI,AUD
68,asx,AFP,AUD
69,asx,AFR,AUD
70,asx,AFT,AUD
71,asx,AGD,AUD
72,asx,AGE,AUD
73,asx,AGG,AUD
74,asx,AGI,AUD
75,asx,AGJ,AUD
76,asx,AGL,AUD
77,asx,AGO,AUD
78,asx,AGR,AUD
79,asx,AGS,AUD
80,asx,AHF,AUD
81,asx,AHG,AUD
