,0,1
0,asx,1AD.AX
1,asx,1AG.AX
2,asx,1AL.AX
3,asx,1ST.AX
4,asx,3DP.AX
5,asx,3PL.AX
6,asx,4CE.AX
7,asx,4DS.AX
8,asx,4WD.AX
9,asx,88E.AX
10,asx,8CO.AX
11,asx,8EC.AX
12,asx,8IH.AX
13,asx,9SP.AX
14,asx,A2M.AX
15,asx,A3D.AX
16,asx,AAA.AX
17,asx,AAC.AX
18,asx,AAD.AX
19,asx,AAJ.AX
20,asx,AAP.AX
21,asx,AAR.AX
22,asx,AAU.AX
23,asx,AB1.AX
24,asx,ABA.AX
25,asx,ABC.AX
26,asx,ABL.AX
27,asx,ABP.AX
28,asx,ABR.AX
29,asx,ABT.AX
30,asx,ABU.AX
31,asx,ABV.AX
32,asx,ABW.AX
33,asx,ABX.AX
34,asx,AC8.AX
35,asx,ACB.AX
36,asx,ACG.AX
37,asx,ACK.AX
38,asx,ACL.AX
39,asx,ACP.AX
40,asx,ACQ.AX
41,asx,ACR.AX
42,asx,ACS.AX
43,asx,ACW.AX
44,asx,ACX.AX
45,asx,AD1.AX
46,asx,AD8.AX
47,asx,ADA.AX
48,asx,ADD.AX
49,asx,ADH.AX
50,asx,ADJ.AX
51,asx,ADN.AX
52,asx,ADO.AX
53,asx,ADR.AX
54,asx,ADV.AX
55,asx,ADX.AX
56,asx,ADY.AX
57,asx,AEB.AX
58,asx,AEE.AX
59,asx,AEF.AX
60,asx,AEG.AX
61,asx,AEI.AX
62,asx,AER.AX
63,asx,AEV.AX
64,asx,AFA.AX
65,asx,AFG.AX
66,asx,AFI.AX
67,asx,AFP.AX
68,asx,AFR.AX
69,asx,AFT.AX
70,asx,AGD.AX
71,asx,AGE.AX
72,asx,AGG.AX
73,asx,AGI.AX
74,asx,AGJ.AX
75,asx,AGL.AX
76,asx,AGO.AX
77,asx,AGR.AX
78,asx,AGS.AX
79,asx,AHF.AX
80,asx,AHG.AX
81,asx,AHK.AX
82,asx,AHL.AX
83,asx,AHN.AX
84,asx,AHQ.AX
85,asx,AHR.AX
86,asx,AHX.AX
87,asx,AHY.AX
88,asx,AHZ.AX
89,asx,AIA.AX
90,asx,AIB.AX
91,asx,AIQ.AX
92,asx,AIR.AX
93,asx,AIS.AX
94,asx,AIV.AX
95,asx,AIY.AX
