#RIC,ISIN,CUSIP,SEDOL,GICS,Exchange,Name,Type,Currency,First Date,Last Date,Expiry Date,Strike Price,Options Type,Maturity,Coupon,Bond,Rating,PE Code,Underlying RIC,New RIC Symbol,Release Cycle
1AD.AX,AU0000001AD2,N/A,N/A,N/A,ASX,ADALTA->ADALTA FPO,113,AUD,18-AUG-2016,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,1AD.AX,,1
1AG.AX,AU0000001AG5,N/A,N/A,N/A,ASX,ALTERRA LTD->ALTERRA->ALTERRA FPO,113,AUD,24-MAR-2016,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,1AG.AX,,1
1AL.AX,AU0000001AL5,N/A,N/A,N/A,ASX,ONEALL->ONEALL FPO,113,AUD,27-NOV-2015,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,IPO-OAI.AX->1AL.AX,,1
1ST.AX,AU0000001ST0,N/A,N/A,N/A,ASX,1ST AVAIL->1ST AVAIL FPO->1ST GROUP FPO,113,AUD,05-JUN-2015,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,1ST.AX,,1
3DP.AX,AU0000003DP6,N/A,N/A,N/A,ASX,POINTERRA->POINTERRA FPO,113,AUD,08-JUL-2016,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,SOI.AX->3DP.AX,,1
3PL.AX,AU0000003PL9,N/A,N/A,N/A,ASX,3P LEARNING->3PLEARNING->3PLEARNING FPO,113,AUD,15-AUG-2014,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,3PL.AX,,1
4CE.AX,AU0000004CE0,N/A,N/A,N/A,ASX,FORCE COMMODITIE,113,AUD,30-DEC-2016,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,4CE.AX,,1
4DS.AX,AU0000004DS8,N/A,N/A,N/A,ASX,FITZROYRES FPO,113,AUD,11-DEC-2015,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,4DS.AX,,1
4WD.AX,AU0000004WD0,N/A,N/A,N/A,ASX,AUTOMOTIVE SOLUT->AUTO SOLNS->AUTO SOLNS FPO,113,AUD,14-DEC-2016,22-JAN-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,4WD.AX,,1
88E.AX,AU00000088E2,N/A,N/A,N/A,ASX,88 ENERGY->88 ENERGY FPO,113,AUD,03-MAR-2015,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,88E.AX,,1
8CO.AX,AU0000008CO0,N/A,N/A,N/A,ASX,8COMMONLTD->8COMMONLTD FPO,113,AUD,26-AUG-2014,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,8CO.AX,,1
8EC.AX,AU0000008EC1,N/A,N/A,N/A,ASX,8IP EMERG->8IP EMERG FPO,113,AUD,27-NOV-2015,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,8EC.AX,,1
8IH.AX,AU0000008IH1,N/A,N/A,N/A,ASX,8I HOLD->8I HOLD CDI 1:1,113,AUD,16-DEC-2014,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,8IH.AX,,1
9SP.AX,NZ9SPE0001S1,N/A,N/A,N/A,ASX,9SPOKES->9SPOKES FPO NZ,113,AUD,08-JUN-2016,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,9SP.AX,,1
A2M.AX,NZATME0002S8,N/A,N/A,N/A,ASX,A2 MILK->A2 MILK FPO NZ,113,AUD,30-MAR-2015,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,ATM.NZ,,1
A3D.AX,AU000000A3D7,N/A,N/A,N/A,ASX,AURORALABS->AURORALABS FPO,113,AUD,15-AUG-2016,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,A3D.AX,,1
AAA.AX,AU000000AAA3,N/A,N/A,N/A,ASX,->BETASHARES AUS->ETF UNITS->BETASHARES AUS->ETF UNITS->BETA AUS HI INT,113->112,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AAA.AX,,1
AAC.AX,AU000000AAC9,N/A,N/A,N/A,ASX,AUS AGRICULTURAL->AUST AG CO FPO->AUS AGRICULTURAL->AUST AG CO FPO,113,AUD,09-AUG-2001,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AAC.AX,,1
AAD.AX,AU000000AAD7,N/A,N/A,N/A,ASX,->MACQ LEISURE->ARDENT LEISURE->ARDENT LEI STAPL->ARDENT LEI STPL->ARDENT LEI STAPL,113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,MLE.AX->AAD.AX,,1
AAJ.AX,AU000000AAJ4,N/A,N/A,N/A,ASX,ARUMA RESOURCES->ARUMA RES FPO,113,AUD,14-JUL-2010,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AAJ.AX,,1
AAP.AX,AU000000AAP1,N/A,N/A,N/A,ASX,AAPT->REDISLAND FPO->AUSTRALIAN AGRIC->AUSAGRIPRO FPO,113,AUD,06-NOV-1997,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AAP.AX,,1
AAR.AX,AU000000AAR7,N/A,N/A,N/A,ASX,->ANGLO AUST RSC->ANGLO FPO->** SEE<AARDA.AX>->ANGLO AUST R-DEF->ANGLO AUST RSC,113->225->113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AAR.AX,,1
AAU.AX,AU000000AAU1,N/A,N/A,N/A,ASX,ADCORP AUSTRALIA->ADCORP AUS FPO->ADCORP AUSTRALIA->ADCORP AUS FPO,113,AUD,03-NOV-1999,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AAU.AX,,1
AB1.AX,AU000000AB15,N/A,N/A,N/A,ASX,BLACK FIRE FPO->ANIMOCA BRANDS,113,AUD,21-JAN-2015,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,AB1.AX,,1
ABA.AX,AU000000ABA1,N/A,N/A,N/A,ASX,ADVANCE BANK->AUSWIDE BNK->AUSWIDE FPO,113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,ABA.AX,,1
ABC.AX,AU000000ABC7,N/A,N/A,N/A,ASX,ADEL BTON CEMENT->ADELAIDE BRIGHTN->ADEL BRTN FPO->ADELAIDE BRIGHTN->ADEL BRTN FPO,113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ABC.AX,,1
ABL.AX,AU000000ABL8,N/A,N/A,N/A,ASX,ABALDYN->** SEE <WDP.AX>->WORLD OIL RES->ABILENE OIL,113->225->113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,ABL.AX,,1
ABP.AX,AU000000ABP9,N/A,N/A,N/A,ASX,->ABACUS STAPLED->** SEE<ABPDC.AX>->ABACUS PROP -DEF->ABACUS PROP FPO->ABACUS STAPLED,->113->225->113->225->113,AUD,13-NOV-2002,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ABP.AX,,1
ABR.AX,AU000000ABR5,N/A,N/A,N/A,ASX,ABADOR GOLD->** SEE <MYC.AX>->AMERPACBO->AMERPACBO FPO,113->225->113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,ABR.AX,,1
ABT.AX,AU000000ABT1,N/A,N/A,N/A,ASX,APOLLO BATTERIES->** SEE <OTI.AX>->ABUNDANT->ABUNDANT FPO,113->225->113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,ABT.AX,,1
ABU.AX,AU000000ABU9,N/A,N/A,N/A,ASX,->ABM RESOURCES->ABM RES FPO->** SEE<ABUDA.AX>->ABM RES DEF SET->ABM RES FPO,113->225->113,AUD,21-AUG-2006,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ABU.AX,,1
ABV.AX,AU000000ABV7,N/A,N/A,N/A,ASX,SAFE EFFECT TECH->ADVANCD BRAKING->ADV BRAKE FPO->ADV BRAKE->ADV BRAKE FPO,113,AUD,02-NOV-2007,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ABV.AX,,1
ABW.AX,AU000000ABW5,N/A,N/A,N/A,ASX,->AURORA ARF ORD U->AURORA ARF FPO->AURORA ARF ORD U->AURORA ARF ORD->AURORA ARF ORD U,113->225->113,AUD,03-MAY-2006,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ABW.AX,,1
ABX.AX,AU000000ABX3,N/A,N/A,N/A,ASX,ABELLE->AUSBAUXITE FPO->AUSBAUXITE->AUSBAUXITE FPO,113,AUD,29-APR-2002,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ABX.AX,,1
AC8.AX,AU000000AC89,N/A,N/A,N/A,ASX,AUSCANN GROUP HO,113,AUD,25-JAN-2017,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,AC8.AX,,1
ACB.AX,AU000000ACB7,N/A,N/A,N/A,ASX,A-CAP RESOURCES->ACAP RES FPO->A-CAP RESOURCES->ACAP RES FPO,113,AUD,03-MAY-2006,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACB.AX,,1
ACG.AX,AU000000ACG6,N/A,N/A,N/A,ASX,ATCOR MEDICAL->ATCOR FPO->ATCOR MEDICAL->ATCOR FPO,113,AUD,08-NOV-2005,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACG.AX,,1
ACK.AX,AU000000ACK8,N/A,N/A,N/A,ASX,AUSTOCK GROUP->AUSTOCK FPO,113,AUD,22-NOV-2007,21-MAR-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACK.AX,,1
ACL.AX,AU000000ACL6,N/A,N/A,N/A,ASX,ALCHEMIA->ALCHEMIA FPO->ALCHEMIA->ALCHEMIA FPO,113,AUD,22-DEC-2003,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACL.AX,,1
ACP.AX,AU000000ACP7,N/A,N/A,N/A,ASX,AUSTRAM CORP->AUDALIA FPO,113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACP.AX,,1
ACQ.AX,AU000000ACQ5,N/A,N/A,N/A,ASX,ACORN CAPITAL->ACORN CAP->ACORN CAP FPO,113,AUD,30-APR-2014,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACQ.AX,,1
ACR.AX,AU000000ACR3,N/A,N/A,N/A,ASX,ACRUX->ACRUX FPO->ACRUX->ACRUX FPO,113,AUD,01-SEP-2004,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACR.AX,,1
ACS.AX,AU000000ACS1,N/A,N/A,N/A,ASX,ACCENT RSC->ACCENT RES FPO->ACCENT RSC->ACCENT RES FPO,113,AUD,12-JUL-2005,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACS.AX,,1
ACW.AX,AU000000ACW3,N/A,N/A,N/A,ASX,->** SEE<ACWDA.AX>->ACTINOGEN-DEF->ACTINOGEN->ACTINOGEN FPO->ACTINOGEN MEDICA,113->225->113,AUD,27-AUG-2007,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACW.AX,,1
ACX.AX,AU000000ACX1,N/A,N/A,N/A,ASX,->ACMA FPO->ACMA ENG & CONST->** SEE <EIM.AX>->ACONEX->ACONEX FPO,113->225->113,AUD,17-JAN-2000,03-APR-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ACX.AX->ACXXX.AX->ACX.AX,,1
AD1.AX,AU000000AD13,N/A,N/A,N/A,ASX,APPLYDIRCT->APPLYDIRCT FPO,113,AUD,22-JUN-2016,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,AD1.AX,,1
AD8.AX,AU000000AD88,N/A,N/A,N/A,ASX,AUDINATE GROUP->AUDINATEGL FPO,113,AUD,29-JUN-2017,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,217,AD8.AX,,1
ADA.AX,AU000000ADA7,N/A,N/A,N/A,ASX,ADACEL TECH->ADACEL FPO->ADACEL TECH->ADACEL FPO,113,AUD,26-FEB-1998,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADA.AX,,1
ADD.AX,AU000000ADD1,N/A,N/A,N/A,ASX,->POCKETMAIL GROUP->ADAVALE RESOURCE->ADAVALE FPO->** SEE<ADDDA.AX>->ADAVALE FPO,113->225->113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADD.AX,,1
ADH.AX,AU000000ADH2,N/A,N/A,N/A,ASX,->AERODATA HLD-DEF->AERODATA HLDS->** SEE <AQT.AX>->ADAIRS->ADAIRS FPO,113->225->113->225->113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADH.AX,,1
ADJ.AX,AU000000ADJ8,N/A,N/A,N/A,ASX,ADSLOT->FPO->ADSLOT,113,AUD,06-DEC-2012,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADJ.AX,,1
ADN.AX,AU000000ADN0,N/A,N/A,N/A,ASX,->ADERSOURCE FPO->ADELAIDE RSC->ADERSOURCE FPO->ANDROMEDA METAL->ANDROMEDA FPO,113,AUD,16-SEP-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADN.AX,,1
ADO.AX,AU000000ADO8,N/A,N/A,N/A,ASX,BIOLAYER CORPN->ANTEO DIAGNOSTIC->ANTEO FPO->ANTEO->ANTEO FPO,113,AUD,24-NOV-2008,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADO.AX,,1
ADR.AX,AU000000ADR1,N/A,N/A,N/A,ASX,THUNDERBOLT RSC->ADMIRALTY RSC->** SEE <EIR.AX>->ADHERIUM->ADHERIUM FPO,113->225->113,AUD,21-MAY-2000,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADR.AX,,1
ADV.AX,AU000000ADV3,N/A,N/A,N/A,ASX,->** SEE<ADVDA.AX>->AUST CAPITAL-DEF->AUST DEV CAPITAL->STRATOS RES->ARDIDEN LTD,113->225->113->225->113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADV.AX,,1
ADX.AX,AU000000ADX9,N/A,N/A,N/A,ASX,->AUDAX RESOURCES->ADX ENERGY->ADXENERGY FPO->ADXENERGY->ADXENERGY FPO,113,AUD,01-JAN-1996,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADX.AX,,1
ADY.AX,AU000000ADY7,N/A,N/A,N/A,ASX,->ADMIRALTY FPO->** SEE<ADYDA.AX>->ADMIRALTY DEF->ADMIRALTY RSC->ADMIRALTY FPO,113->225->113,AUD,17-MAR-2004,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,ADY.AX,,1
AEB.AX,AU000000AEB3,N/A,N/A,N/A,ASX,ALGAETEC FPO,113,AUD,11-JAN-2011,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AEB.AX,,1
AEE.AX,AU000000AEE7,N/A,N/A,N/A,ASX,AURA ENERGY->AURA EN FPO->AURA ENERGY->AURA EN FPO,113,AUD,17-MAY-2006,17-MAY-2018,N/A,N/A,N/A,N/A,N/A,RMI,N/A,217,AEE.AX,,1
